Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Concrete_Compressive_Strength
6.29156913955832,150.0,125.0,162.0,2.5,1040.0,676.0,0.07671232876712329,79.98611076
6.29156913955832,150.0,125.0,162.0,2.5,1055.0,676.0,0.07671232876712329,61.887365759999994
5.806639860095909,142.5,125.0,228.0,0.0,932.0,594.0,0.7397260273972602,40.269535256000005
5.806639860095909,142.5,125.0,228.0,0.0,932.0,594.0,1.0,41.052779992
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.9863013698630136,44.296075096
5.583496308781699,114.0,125.0,228.0,0.0,932.0,670.0,0.2465753424657534,47.029847436000004
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,1.0,43.698299404
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,0.07671232876712329,36.447769788
5.583496308781699,114.0,125.0,228.0,0.0,932.0,670.0,0.07671232876712329,45.854290856
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,0.07671232876712329,39.28978986
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.2465753424657534,38.074243671999994
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.07671232876712329,28.021683592
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,0.7397260273972602,43.01296026
5.247024072160486,190.0,125.0,228.0,0.0,932.0,670.0,0.2465753424657534,42.32693164
5.717027701406222,76.0,125.0,228.0,0.0,932.0,670.0,0.07671232876712329,47.813781648
5.940171252720432,150.0,125.0,228.0,0.0,932.0,670.0,0.2465753424657534,52.908319811999995
4.938781190328272,209.4,125.0,192.0,0.0,1047.0,806.9,0.2465753424657534,39.358047983999995
5.834810737062605,38.0,125.0,228.0,0.0,932.0,670.0,1.0,56.141962252
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,0.2465753424657534,40.563252031999994
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,0.4931506849315068,42.620648416
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,0.4931506849315068,41.836714203999996
4.938781190328272,209.4,125.0,192.0,0.0,1047.0,806.9,0.07671232876712329,28.23748958
4.938781190328272,209.4,125.0,192.0,0.0,1047.0,806.9,0.00821917808219178,8.06342182
4.938781190328272,209.4,125.0,192.0,0.0,1047.0,806.9,0.4931506849315068,44.207822168
5.940171252720432,150.0,125.0,228.0,0.0,932.0,670.0,1.0,52.516697443999995
5.940171252720432,150.0,125.0,228.0,0.0,932.0,670.0,0.7397260273972602,53.300631656
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,0.7397260273972602,41.15137506
5.834810737062605,38.0,125.0,228.0,0.0,932.0,670.0,0.4931506849315068,52.1243856
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,0.07671232876712329,37.427515183999994
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,0.019178082191780823,38.60376124
5.717027701406222,76.0,125.0,228.0,0.0,932.0,670.0,1.0,55.260122448
5.583496308781699,114.0,125.0,228.0,0.0,932.0,670.0,1.0,52.908319811999995
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.4931506849315068,41.719503284
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,0.7397260273972602,42.131120456
5.247024072160486,190.0,125.0,228.0,0.0,932.0,670.0,1.0,53.69225402399999
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,0.7397260273972602,38.407950056000004
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,0.07671232876712329,30.079769451999997
5.806639860095909,142.5,125.0,228.0,0.0,932.0,594.0,0.2465753424657534,37.721921436
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,0.2465753424657534,42.229026048
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,0.4931506849315068,36.251958603999995
5.834810737062605,38.0,125.0,228.0,0.0,932.0,670.0,0.2465753424657534,50.45930106
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,1.0,43.698299404
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,1.0,38.995383608
5.940171252720432,150.0,125.0,228.0,0.0,932.0,670.0,0.4931506849315068,53.104130996
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,0.2465753424657534,41.542997428
6.0579542883768145,47.5,125.0,228.0,0.0,932.0,594.0,0.019178082191780823,35.076402024
5.855071922202427,150.0,125.0,192.0,0.0,1047.0,806.9,0.00821917808219178,15.049192651999999
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,0.4931506849315068,40.759063216
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,0.019178082191780823,26.258003984
5.940171252720432,95.0,125.0,228.0,0.0,932.0,594.0,0.019178082191780823,32.823194456
5.806639860095909,142.5,125.0,228.0,0.0,932.0,594.0,0.4931506849315068,39.779317819999996
5.247024072160486,190.0,125.0,228.0,0.0,932.0,670.0,0.4931506849315068,46.931941843999994
5.470167623474696,237.5,125.0,228.0,0.0,932.0,594.0,0.2465753424657534,33.116911232
5.717027701406222,76.0,125.0,228.0,0.0,932.0,670.0,0.2465753424657534,49.185149411999994
4.938781190328272,209.4,125.0,192.0,0.0,1047.0,806.9,0.019178082191780823,14.589312159999999
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.019178082191780823,14.638264955999999
6.163314804034641,150.0,125.0,228.0,0.0,932.0,594.0,1.0,41.934619796
5.291292751611072,132.4,125.0,192.0,0.0,978.4,825.5,0.00821917808219178,9.131420144
5.717027701406222,76.0,125.0,228.0,0.0,932.0,670.0,0.4931506849315068,50.94882902
5.806639860095909,142.5,125.0,228.0,0.0,932.0,594.0,0.07671232876712329,33.019005639999996
5.717027701406222,76.0,125.0,228.0,0.0,932.0,670.0,0.7397260273972602,54.378282643999995
5.583496308781699,114.0,125.0,228.0,0.0,932.0,670.0,0.7397260273972602,51.732763231999996
5.736572297479192,150.0,125.0,192.0,0.0,971.0,850.6,0.00821917808219178,9.86640156
5.247024072160486,190.0,125.0,228.0,0.0,932.0,670.0,0.7397260273972602,50.655112243999994
5.583496308781699,114.0,125.0,228.0,0.0,932.0,670.0,0.4931506849315068,48.695621452
